CODIGO	CLAVE	PRECIO1	PRECIO2	COSTO	ULTIMO_COSTO	DESCRIPCION
01100796	RAMAP/C4	0.0000	0.0000	25747.0100	25747.0100	RANURADORA MANUAL PARA CORTE DE TUBO DE 4"
01100851	SOPT2A24	0.0000	0.0000	0.0000	0.0000	SOPORTE AJUSTABLE PARA TUBO MODELO 224 51 X 610 MM. (2" A 24")
01203545	CP4F905	0.0000	0.0000	1790.4711	1925.9950	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 905 DE 102 MM. (4")
01203546	CP6F905	0.0000	0.0000	3337.6062	3323.4891	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 905 DE 152 MM. (6")
01203547	CP4F995	0.0000	0.0000	0.0000	0.0000	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 102 MM. (4")
01203548	CP3F995	0.0000	0.0000	1227.1020	1227.1020	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 076 MM. (3")
01203549	CP6F995	0.0000	0.0000	4031.5873	4031.5873	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 152 MM. (6")
01203550	CP12F995	0.0000	0.0000	10487.4276	10489.4166	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 305 MM. (12")
01203551	CP2F995	0.0000	0.0000	1022.2460	1022.2480	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 051 MM. (2")
01203552	CP8F995	0.0000	0.0000	4711.1064	4711.1064	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 203 MM. (8")
01300108	TSC480TM	0.0000	0.0000	4778.1600	3285.4400	COD. ART. R03430001 TUBO DE ACERO AL CARBON SIN COSTURA 114.3 X 08.6 MM. (4" CED. 80)
01300110	TSC3/480TM	0.0000	0.0000	822.1700	789.3528	TUBO DE ACERO AL CARBON SIN COSTURA DE 026.7 X 03.9 MM  (3/4" CED.80)
01300113	TSC2XXSTM	0.0000	0.0000	3802.1400	3802.1400	COD. ART. R92180001 TUBO DE ACERO AL CARBON SIN COSTURA ASTM A 106 GR.B DE 2" DIAM. ( CED. XXS)
01300116	TSC240TM	0.0000	0.0000	1300.0600	1492.9100	COD. ART.  R01660002 TUBO DE ACERO AL CARBON SIN COSTURA 060.3 X 03.9 MM. (2" CED. 40) ASTM A53
01300129	TSC11/240AI316TM	0.0000	0.0000	3768.1149	4017.2859	TUBO A/INOX. S/COSTURA T-316 DE 048.3 X 03.7 MM. (1 1/2" CED. 40)
01300145	TCC860X-52	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 219.1 X 10.3 MM (8" CED. 60)
01300153	TCC11/280TM	0.0000	0.0000	777.1306	818.0000	COD. ART. R03690001 TUBO DE ACERO AL CARBON CON COSTURA CED. 80 ASTM-A-53 GR. A DE 1 1/2" DE DIAMETRO
01300154	TCC340TM	0.0000	0.0000	1468.9534	1438.4600	COD. ART. TUBO DE ACERO AL CARBON CON COSTURA CED. 40 ASTM-A-53 GR. A DE 3" DE DIAMETRO
01300187	TCC810RA	0.0000	0.0000	968.1219	919.1400	TUBO DE A/C C/C DE 219.1 X 04.7 MM. RAN. (8" CED. 10) UL FM
01300188	TCC11/410RA	0.0000	0.0000	37.2747	68.6600	TUBO DE A/C C/C DE 042.2 X 02.8 MM. RAN. (1 1/4" CED. 10) ALLIED
01300189	TCC11/210RA	0.0000	0.0000	105.9542	107.1480	TUBO DE A/C C/C DE 048.3 X 02.8 MM. RAN. (1 1/2" CED. 10) 
01300194	TCC4DF	0.0000	0.0000	157.0265	142.9830	TUBO DE A/C C/C DE 114.3 MM. CED. 7 LISO (4") SPS
01300198	TCC11/4DF	0.0000	0.0000	51.9760	51.9760	TUBO DE A/C C/C DE 042.2 MM. CED. 7 LISO (1 1/4") SPS
01300199	TCC11/2DF	0.0000	0.0000	51.8629	46.0200	TUBO DE A/C C/C DE 048.3 MM. CED. 7 LISO (1 1/2") SPS
