CODIGO	CLAVE	DESCRIPCION	
01200000	ABPT21/2F300I	"ABRAZADERA AJUSTABLE TIPO LIGERO A/INOX. FIG. 300 DE 64 MM. (2 1/2"")"	
01200021	ATCR8G	"ABRAZADERA GALV. TIPO ""U"" DE 203 MM. (8"")"	
01103037	APGPMCALARSENS	ACCESORIOS PARA GABINETE DE PARED MARCA LARSENS	
01200062	ACHIPV24	"ACTUADOR HID. PARA VALVULA DE 610 MM. (24"")"	
01200061	ACHIPV16	"ACTUADOR HIDRAULICO PARA VALVULA DE 406 MM. (16"")"	
01200102	AD2F80	"ADAPTADOR ROSCA HEMBRA RANURADO VICTAULIC FIG 80 DE 051 MM. (2"")"	
01100821	ARAP5/8G	"ARANDELA PLANA GALV. 5/8"""	
01100015	BAMARA8A12V270	"BALERO DE CILINDRO PARA MAQ. RANURADORA VE270 RODILLO SUPERIOR DE (8"" A 12"")"	
01200235	BSW1/2150CRAI316	"BRIDA A/INOX. CAJA SOLDAR CARA REALZ. T-316 10.5 K DE 013 MM. B. STD. (SW 150 LBS 1/2"")"	
01200216	BSW11/215080AI316	"BRIDA A/INOX. CAJA SOLDAR CARA REALZ. T-316 10.5 K DE 038 MM. B. 80 (SW 150 LBS. 1 1/2"")"	
01200218	BSW2150CRAI316	"BRIDA A/INOX. CAJA SOLDAR CARA REALZ. T-316 10.5 K DE 051 MM. B. STD. (SW 150 LBS. 2"")"	
01200237	BSW10150CRAI316	"BRIDA A/INOX. CAJA SOLDAR CARA REALZ. T-316 10.5 K DE 254 MM. B. STD. (SW 150 LBS. 10"")"	
01200240	BSW11500CR80AI	"BRIDA A/INOX. CAJA SOLDAR CARA REALZ. T-316 105 K DE 025 MM. B. 80 (SW 1500 LBS. 1"")"	
01200297	BC215010CRAI304	"BRIDA A/INOX. CIEGA CARA REALZADA T-304 10.5 K DE 051 MM. (150 LBS. 2"")"	
01200301	BC4150CRAI316	"BRIDA A/INOX. CIEGA CARA REALZADA T-316 10.5 K DE 102 MM. (150 LBS. 4"")"	
01200160	BC2600CRAI316	"BRIDA A/INOX. CIEGA CARA REALZADA T-316 42 K DE 051 MM. (600 LBS. 2"")"	
01200191	BWN3150CRAI304	"BRIDA A/INOX. CON CUELLO CARA REALZ. T-304 10.5 K DE 076 MM. B. STD. (WN 150 LBS. 3"")"	
01200170	BWN4150CRAI304	"BRIDA A/INOX. CON CUELLO CARA REALZ. T-304 10.5 K DE 102 MM. B. STD. (WN 150 LBS. 4"")"	
01200194	BWN4300CRAI304	"BRIDA A/INOX. CON CUELLO CARA REALZ. T-304 21 K DE 102 MM. B. STD. (WN 300 LBS. 4"")"	
01200154	BWN3600CRB40AI304	"BRIDA A/INOX. CON CUELLO CARA REALZ. T-304 42 K DE 076 MM. B. 40 (WN 600 LBS. 3"")"	
01200153	BWN4600CRB40AI304	"BRIDA A/INOX. CON CUELLO CARA REALZ. T-304 42 K DE 102 MM. B. 40 (WN 600 LBS. 4"")"	
01200162	BSO2150CPAI304	"BRIDA A/INOX. SIN CUELLO CARA PLANA T-304 10.5 K DE 051 MM. (SO 150 LBS. 2"")"	
01200149	BSO3150CPAI304	"BRIDA A/INOX. SIN CUELLO CARA PLANA T-304 10.5 K DE 076 MM. (SO 150 LBS. 3"")"	
01200248	BSO3/415010AI304	"BRIDA A/INOX. SIN CUELLO CARA REALZ. T-304 10.5 K DE 019 MM. (SO 150 LBS. 3/4"")"	
01200244	BSO415040AI304	"BRIDA A/INOX. SIN CUELLO CARA REALZ. T-304 10.5 K DE 102 MM. (SO 150 LBS. 4"")"	
01200261	BSO3300CRAI304	"BRIDA A/INOX. SIN CUELLO CARA REALZ. T-304 21 K DE 076 MM. (SO 300 LBS. 3"")"	
01200275	BSO2150CRAI316	"BRIDA A/INOX. SIN CUELLO CARA REALZ. T-316 10.5 K DE 051 MM. (SO 150 LBS. 2"")"	
01200277	BSO4300CRAI316	"BRIDA A/INOX. SIN CUELLO CARA REALZ. T-316 21 K DE 102 MM. (SO 300 LBS. 4"")"	
01200322	BAHDPE4F994	"BRIDA ADAPTADORA PARA HDPE VICTAULIC FIGURA 994 DE 102 MM. (4"")"	
01200321	BAHDPE6F994	"BRIDA ADAPTADORA PARA HDPE VICTAULIC FIGURA 994 DE 152 MM. (6"")"	
01200323	BAHDPE8F994	"BRIDA ADAPTADORA PARA HDPE VICTAULIC FIGURA 994 DE 203 MM. (8"")"	
01200353	BSW3/4150CP	"BRIDA DE ACERO CAJA SOLDAR CARA PLANA 10.5 K DE 019 MM. B. STD. (SW 150 LBS. 3/4"")"	
01200358	BSW2150CP	"BRIDA DE ACERO CAJA SOLDAR CARA PLANA 10.5 K DE 051 MM. B. STD. (SW 150 LBS. 2"")"	
01200349	BSW4150CP	"BRIDA DE ACERO CAJA SOLDAR CARA PLANA 10.5 K DE 102 MM. B. STD. (SW 150 LBS. 4"")"	
01200384	BSW1/2150CRB80	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 013 MM. B. 80 (SW 150 LBS. 1/2"")"	
01200385	BSW1/2150CR	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 013 MM. B. STD. (SW 150 LBS. 1/2"")"	
01200389	BSW3/4150CRB80	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 019 MM. B. 80 (SW 150 LBS. 3/4"")"	
01200390	BSW3/4150CR	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 019 MM. B.STD (SW 150 LBS 3/4"")"	
01200392	BSW1150CRB80	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 025 MM. B. 80 (SW 150 LBS. 1"")"	
01200393	BSW1150CR	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 025 MM. B. STD. (SW 150 LBS. 1"")"	
01200396	BSW11/4150CR	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 032 MM. B. STD. (SW 150 LBS. 11/4"")"	
01200397	BSW11/2150CRB80	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 038 MM. B. 80 (SW 150 LBS. 1 1/2"")"	
01200398	BSW11/2150CRE	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 038 MM. B. STD. (SW 150 LBS. 11/2"")"	
01200399	BSW11/2150CRBXXS	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 038 MM. B. XXS (SW 150 LBS. 1 1/2"")"	
01200465	BSW2150CRB160	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 051 MM. B. 160 (SW 150 LBS. 2"")"	
01200400	BSW2150CRB80	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 051 MM. B. 80 (SW 150 LBS. 2"")"	
01200401	BSW2150CR	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 051 MM. B. STD. (SW 150 LBS. 2"")"	
01200404	BSW21/2150CRB80	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 064 MM. B. 80 (SW 150 LBS. 2 1/2"")"	
01200407	BSW3150CRE	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 076 MM. B. STD. (SW 150 LBS. 3"")"	
01200382	BSW4150CRE	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 102 MM. B. STD. (SW 150 LBS. 4"")"	
01200387	BSW6150CR	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 10.5 K DE 152 MM. B. STD. (SW 150 LBS. 6"")"	
01200418	BSW21500CRB160	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 105 K DE 051 MM. B. 160 (SW 1500 LBS. 2"")"	
01200417	BSW21500CR	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 105 K DE 051 MM. B. STD (SW 1500 LBS. 2"")"	
01200421	BSW1/2300CRB80	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 21 K DE 013 MM. B. 80 (SW 300 LBS. 1/2"")"	
01200422	BSW1/2300CR	"BRIDA DE ACERO CAJA SOLDAR CARA REALZ. 21 K DE 013 MM. B. STD. (SW 300 LBS. 1/2"")"	
